words,sentiment_coeff
paris,-81.88254105466125
repair_maintenance,-76.87141412431359
very,-60.832645074774724
state_park,-92.26815953267355
star,-75.23753268819719
simon,-68.43354514793401
life,-102.8198594925352
make,-94.81410209336148
plus,-29.544405513066017
collegiate_athletic,-70.67201487297766
software,-64.2128747377294
to_learn,-56.48239276653035
hotel,-74.13019503796502
3_ways,-47.24855957067325
play,-90.18444539823291
off,-56.50775427661687
rena_lara,-73.93045037989761
win,-75.18177129840034
manual_not,-55.59216782184158
world,-68.800994746407
its,-42.555334984957426
holly_ridge,-85.85834831748478
texarkana,-81.35519344984188
papaya_salad,-44.2812971885526
small,-50.241701199565206
program,-39.90878928669978
football_conference,-68.3984797760713
house,-49.65791684880745
arena,-67.18967149245249
pdf_file,-51.707474262402776
america,-87.72667902368254
doc_file,-49.10207980271492
athletic_association,-56.19849756710949
leola,-93.6425239691753
dogs,-61.20069397152439
user,-94.42712714975842
sheridan,-80.280474884682
market,-94.20680840848824
little,-47.8452495333881
royal_orchid,-44.39398758715507
room,-62.273727581655066
india,-60.570020162263056
technical_institute,-42.232406526064274
500,-56.75368978752231
de_valls,-69.63233997688339
of_chiropractic,-70.53699949879953
team,-54.27439865741011
industries,-65.73321418386088
our_lady,-57.26759269738504
oregon,-67.14788485412916
smart,-34.58656981906369
wesleyan_university,-60.32776356837725
djr_team,-48.34401102270215
gps_a,-10.515780285976522
everything_you,-29.026869913464164
edgemont,-103.4948573340524
university_northwood,-74.15708376271795
health_sciences,-65.57098123808453
right,-60.84724307797745
university_northwest,-65.69140885785815
northern,-72.75503301287269
karma_busting,-50.90515712273692
asparagus_with,-67.15604955832875
a_m,-58.244164033678096
of_medicine,-72.80265180110365
institute_pima,-72.19587233976434
quality,-77.08996180153989
medical_institute,-61.74550478365094
college_district,-78.22334901182013
be_the,-59.697027218628676
tezzele_marco,-71.83177902671622
southern_illinois,-58.78461071742379
college_southeast,-60.97944144302559
apple,-46.417870598876796
bible_college,-75.81528388784965
st_john,-61.989323221432635
40,-75.72213929631663
barbara_business,-65.82756498623965
saint_vincent,-53.243350963824426
franklin,-73.25850074720563
hospital,-62.470601420055864
saint_josephs,-58.35168687346575
made,-60.37581347884209
clarksville,-84.64154384037637
s_seminary,-48.17947926930443
cleveland,-76.60892437928294
saint_john,-62.37095968911431
salad,-52.68730572626871
sacred_heart,-52.699737568966
olives_feta,-60.728687034686494
crudit_s,-59.96358822151437
bradford,-83.80376470723769
jaca,-24.555362401687358
san_jacinto,-63.43065653343977
said,-35.39001460707862
rippe,-8.211670074321185
gurdon,-69.5476965338894
country,-49.73757541927942
almyra,-65.88241824868936
concert,-70.66621479316531
corp,-66.21974616305587
beach,-84.52160760478822
hong_kong,-63.66511006388927
commute,-7.460944700732789
air,-65.74264479137824
benton,-118.10986251128095
band,-42.475862294071234
almost,-43.507648511995235
they,-62.28596809437261
do,-62.67916411730748
m,-37.67097877881962
bedienungsanleitung_not,-52.20564967926368
germany,-95.3352169443985
rosie,-114.01556830457443
eastern,-66.57211023393354
miles,-51.50662161067389
hreem_hroum,-56.741794770905734
dip_vegetable,-42.888401978834736
dip_tzatziki,-60.2578352010468
dip_chickpea,-51.41880670285279
friars_point,-106.27749909596805
salami_eggplant,-48.868013223240865
theory,-75.33838452509994
bresaola_prosciutto,-50.06333910897365
then,-53.55573658602879
